what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1417776547889
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417776551998
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417776555748
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1417776564569
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417776566160
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417776570555
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1417776579106
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417776580116
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417776592157
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417776593769
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417776595289
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417776595715
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1417776598718
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1417776598718
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1418697478915
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1418697478915
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1418697478915
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1418697478915
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1418697478915
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1418697478925
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1418697478925
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1418697478925
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1418697478925
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1418697478925
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1418697478925
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1418697478925
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1418697478925
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1418697478925
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1418697478935
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1418697478935
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1418697478935
